_id,objectid,has_wifi,location_name,public_name,address,postal_code,building_type,gis_id,asset_id,owner,neighbourhood,is_nia,is_emerging,ward,ward_number,telephone,website,globalid,geometry
1,1,Y,ALBION ARENA,Albion Arena,1501 ALBION RD,M9V 1B2,Arena,4480,15,City of Toronto,Mount Olive-Silverstone-Jamestown (2),Y,N,Etobicoke North,1,416-394-8690,https://www.toronto.ca/data/parks/prd/facilities/complex/800/index.html,72123f77-df11-4221-b31f-16bf44c22656,"{'type': 'MultiPoint', 'coordinates': [[-79.5837437502482, 43.7398401501284]]}"
2,2,Y,ANGELA JAMES ARENA,Angela James Arena,165 GRENOBLE DR,M3C 1E3,Arena,4467,374,City of Toronto,Flemingdon Park (44),Y,N,Don Valley East,16,416-395-7838,https://www.toronto.ca/data/parks/prd/facilities/complex/582/index.html,0d56f0ee-c7b7-4824-96b4-62c9d885c1bb,"{'type': 'MultiPoint', 'coordinates': [[-79.3275985298847, 43.713206129805]]}"
3,8,Y,DOWNSVIEW ARENA,Downsview Arena,1633 WILSON AVE,M3L 1A5,Arena,4495,13022,City of Toronto,Oakdale-Beverley Heights (154),Y,N,Humber River-Black Creek,7,416-395-7831,https://www.toronto.ca/data/parks/prd/facilities/complex/568/index.html,3a3b2a1b-2d21-4874-8309-7014902d01f1,"{'type': 'MultiPoint', 'coordinates': [[-79.5127705698672, 43.7198348099176]]}"
4,11,Y,HABITANT ARENA,Habitant Arena,3383 WESTON RD,M9M 2P4,Arena,4359,13029,City of Toronto,Humbermede (22),Y,N,Humber River-Black Creek,7,416-395-7949,https://www.toronto.ca/data/parks/prd/facilities/complex/652/index.html,b18ebce8-9b08-4696-8552-ec52a9ba3787,"{'type': 'MultiPoint', 'coordinates': [[-79.5402428595642, 43.7470188196909]]}"
5,13,Y,JOHN BOOTH MEMORIAL ARENA,John Booth Memorial Arena,230 GOSFORD BLVD,M3N 2H1,Arena,4437,13037,City of Toronto,Black Creek (24),Y,N,Humber River-Black Creek,7,416-395-7942,https://www.toronto.ca/data/parks/prd/facilities/complex/667/index.html,21e79599-7f5f-4969-9b50-7843b6490d39,"{'type': 'MultiPoint', 'coordinates': [[-79.5241920800711, 43.7697087999495]]}"
6,14,Y,LAMBTON ARENA,Lambton Arena,4100 DUNDAS ST W,M6S 2T7,Arena,4505,1833,City of Toronto,Lambton Baby Point,N,N,Parkdale-High Park,4,416-394-2735,https://www.toronto.ca/data/parks/prd/facilities/complex/479/index.html,77fdf906-a496-4320-a9fd-d6f522a9f80c,"{'type': 'MultiPoint', 'coordinates': [[-79.5053685597238, 43.6634469096982]]}"
7,16,Y,MIMICO ARENA,Mimico Arena,31 DRUMMOND ST,M8V 1Y7,Arena,4508,721,City of Toronto,Mimico-Queensway (160),N,N,Etobicoke-Lakeshore,3,416-394-8695,https://www.toronto.ca/data/parks/prd/facilities/complex/802/index.html,e79f066d-584e-47cf-b8d8-b0e784f6f0bb,"{'type': 'MultiPoint', 'coordinates': [[-79.4988323602244, 43.6124018898363]]}"
8,19,Y,VICTORIA VILLAGE ARENA,Victoria Village Arena,190 BERMONDSEY RD,M4A 1Y1,Arena,4346,1075,City of Toronto,Victoria Village (43),Y,N,Don Valley East ,16,416-395-0143,https://www.toronto.ca/data/parks/prd/facilities/complex/771/index.html,bfe93f23-bf0a-4f03-a6c8-ee3d6d4eea1a,"{'type': 'MultiPoint', 'coordinates': [[-79.3157934004268, 43.7230985602235]]}"
9,22,Y,PHIL WHITE ARENA,Phil White Arena,443 ARLINGTON AVE,M6C 3A4,"Arena,Artificial Ice Rink Building,Washroom Building",4227,1908,City of Toronto,Humewood-Cedarvale (106),N,N,Toronto-St. Paul's ,12,416-394-2734,https://www.toronto.ca/data/parks/prd/facilities/complex/477/index.html,30e4a631-af87-4235-8980-6b6d6c4e7841,"{'type': 'MultiPoint', 'coordinates': [[-79.4326124903034, 43.6912918201076]]}"
10,23,Y,AGINCOURT RECREATION CENTRE,Agincourt Recreation Centre,31 GLEN WATFORD DR,M1S 2B7,"Arena,Community Recreation Centre",4219,1608,City of Toronto,Agincourt South-Malvern West (128),N,N,Scarborough North ,23,416-396-4037,https://www.toronto.ca/data/parks/prd/facilities/complex/523/index.html,cd9f80ba-89ca-4924-8d31-bb8ceb28a2ec,"{'type': 'MultiPoint', 'coordinates': [[-79.2762931299111, 43.788414440165]]}"
11,24,Y,CENTENNIAL RECREATION CENTRE - SCARBOROUGH,Centennial Recreation Centre - Scarborough,1967 ELLESMERE RD,M1H 2W5,"Arena,Community Recreation Centre",4163,1675,City of Toronto,Woburn North (142),Y,N,Scarborough-Guildwood ,24,416-396-4057,https://www.toronto.ca/data/parks/prd/facilities/complex/537/index.html,f9624096-bf90-4336-9a61-ba4e2d927841,"{'type': 'MultiPoint', 'coordinates': [[-79.5863336102803, 43.6569329603221]]}"
12,26,Y,CUMMER PARK COMMUNITY CENTRE,Cummer Park Community Centre,6000 LESLIE ST,M2H 1J9,"Arena,Community Recreation Centre",4439,2060,City of Toronto,Bayview Woods-Steeles (49),N,N,Don Valley East ,16,416-396-4024,https://www.toronto.ca/data/parks/prd/facilities/complex/499/index.html,a1549715-38d0-4438-9e4b-bf2288afc084,"{'type': 'MultiPoint', 'coordinates': [[-79.3712622096712, 43.8001037700799]]}"
13,27,Y,DON MONTGOMERY COMMUNITY RECREATION CENTRE,Don Montgomery Community Recreation Centre,2467 EGLINTON AVE E,M1K 2R1,"Arena,Community Recreation Centre",4169,281,City of Toronto,Kennedy Park (124),Y,N,Scarborough Southwest ,20,416-396-4043,https://www.toronto.ca/data/parks/prd/facilities/complex/712/index.html,2b375ce3-2b3f-480e-bf85-1b32e1186675,"{'type': 'MultiPoint', 'coordinates': [[-79.2616645703624, 43.7326626202772]]}"
14,28,Y,MALVERN RECREATION CENTRE,Malvern Recreation Centre,30 SEWELLS RD,M1B 3G5,"Arena,Community Recreation Centre",4183,13047,City of Toronto,Malvern East (146),N,Y,Scarborough Rouge-Park ,25,416-396-4054,https://www.toronto.ca/data/parks/prd/facilities/complex/702/index.html,f7d9c81d-4ed2-4e1b-81d3-bd8b73d65e87,"{'type': 'MultiPoint', 'coordinates': [[-79.2163894297372, 43.8085763303068]]}"
